State,Success
CA,61.5
CO,86.2
DE,84.5
GA,93.3
ID,76.9
IL,72.7
IN,85.2
KS,77.8
KY,53.7
MA,78.8
MD,63.6
ME,91.3
MI,73.7
MN,74
MO,71.4
NC,41.7
NH,80
NJ,84.2
NY,75.3
OH,77.1
PA,73.5
SD,42.7
TN,89.6
VA,75
WA,63.1
WI,61.4
