State,Success
AL,80
AR,88.2
DE,71.6
FL,78.3
GA,87
IL,59.3
IN,78.7
KS,68.8
KY,71.2
LA,77.3
MA,75.5
MD,71.6
MI,63.7
MN,85.7
MO,76.9
MS,90.7
NC,74.4
NH,40
NJ,84
NY,62.6
OH,73.2
OK,92.9
PA,72.4
SC,81.2
TN,77.4
TX,74.3
VA,74.1
WI,76
